EP loss_test loss_valid
566 0.05640673637390137 0.05640847608447075
567 0.056231748312711716 0.0562334805727005
568 0.056056149303913116 0.0560578890144825
569 0.055881649255752563 0.05588338524103165
570 0.05570747330784798 0.05570920929312706
571 0.055533796548843384 0.05553553253412247
572 0.05535862594842911 0.05536036938428879
573 0.055186957120895386 0.05518869310617447
574 0.055013783276081085 0.05501551926136017
575 0.05484184995293617 0.05484359338879585
576 0.05467250943183899 0.054674241691827774
577 0.05450037866830826 0.05450211465358734
578 0.05432881414890289 0.054330550134181976
579 0.05415963754057884 0.05416138470172882
580 0.05399014800786972 0.0539918877184391
581 0.053820692002773285 0.05382243171334267
582 0.05365201458334923 0.05365375429391861
583 0.05348403379321098 0.053485769778490067
584 0.053315144032239914 0.0533168762922287
585 0.05314847081899643 0.05315021425485611
586 0.052980534732341766 0.05298227071762085
587 0.05281367897987366 0.05281541496515274
588 0.05264873430132866 0.05265047401189804
589 0.05248245596885681 0.052484191954135895
590 0.052317846566438675 0.05231958627700806
591 0.05215451121330261 0.05215625464916229
592 0.05199000984430313 0.051991745829582214
593 0.05182653293013573 0.05182826891541481
594 0.051663197576999664 0.051664937287569046
595 0.051499027758836746 0.051500771194696426
596 0.051338646560907364 0.05134038254618645
597 0.05117832496762276 0.05118006840348244
598 0.05101478099822998 0.05101652070879936
599 0.05085286498069763 0.05085459724068642
600 0.050693612545728683 0.050695352256298065
601 0.05053327605128288 0.05053501948714256
602 0.050372637808322906 0.05037438124418259
603 0.0502140112221241 0.05021575093269348
604 0.05005594342947006 0.05005768686532974
605 0.04989584535360336 0.049897581338882446
606 0.04973939061164856 0.04974112659692764
607 0.04958311840891838 0.04958486557006836
608 0.04942522570490837 0.049426961690187454
609 0.049270082265138626 0.04927181452512741
610 0.04911121726036072 0.0491129606962204
611 0.04895687475800514 0.04895862564444542
612 0.04880168288946152 0.0488034226000309
613 0.048648253083229065 0.04864999279379845
614 0.048491429537534714 0.048493169248104095
615 0.048338960856199265 0.048340704292058945
616 0.0481862872838974 0.04818802326917648
617 0.04803334176540375 0.04803508520126343
618 0.047881755977869034 0.047883495688438416
619 0.04772908613085747 0.04773082584142685
620 0.04757605120539665 0.04757779464125633
621 0.04742783308029175 0.04742956906557083
622 0.04727437347173691 0.04727611318230629
623 0.04712382331490517 0.04712556302547455
624 0.04697656258940697 0.04697830602526665
625 0.04682634025812149 0.04682808369398117
626 0.0466776117682457 0.04667935520410538
627 0.046529706567525864 0.046531446278095245
628 0.04637972265481949 0.04638146609067917
629 0.04623299837112427 0.04623473808169365
630 0.04608474671840668 0.04608648270368576
631 0.045937955379486084 0.045939698815345764
632 0.04579075425863266 0.04579250141978264
633 0.04564667493104935 0.04564841091632843
634 0.04550054669380188 0.04550229012966156
635 0.045354604721069336 0.045356351882219315
636 0.045209337025880814 0.045211080461740494
637 0.04506595805287361 0.04506770148873329
638 0.0449223630130291 0.04492411017417908
639 0.044778384268283844 0.044780127704143524
640 0.0446353517472744 0.04463708773255348
641 0.044492386281490326 0.044494133442640305
642 0.04434933140873909 0.04435107111930847
643 0.04420704022049904 0.04420877993106842
644 0.044065844267606735 0.04406758397817612
645 0.04392554238438606 0.04392728582024574
646 0.04378505051136017 0.04378679394721985
647 0.043644461780786514 0.043646205216646194
648 0.043503884226083755 0.04350563511252403
649 0.04336433485150337 0.04336608573794365
650 0.04322521761059761 0.04322696104645729
651 0.043088048696517944 0.043089792132377625
652 0.04294935241341591 0.04295109957456589
653 0.042809564620256424 0.0428113117814064
654 0.04267321527004242 0.0426749661564827
655 0.04253620654344559 0.04253794625401497
656 0.04239874333143234 0.042400483042001724
657 0.04226389899849892 0.0422656424343586
658 0.04212811589241028 0.042129866778850555
659 0.04199148714542389 0.04199323058128357
660 0.041857630014419556 0.04185938090085983
661 0.04172242060303688 0.04172416403889656
662 0.04158739000558853 0.04158913344144821
663 0.041455406695604324 0.0414571538567543
664 0.0413203127682209 0.04132205620408058
665 0.041188471019268036 0.041190214455127716
666 0.04105299338698387 0.04105474054813385
667 0.04092339798808098 0.04092513769865036
668 0.0407898835837841 0.04079163074493408
669 0.040660709142684937 0.04066245257854462
670 0.040528178215026855 0.040529921650886536
671 0.04039651155471802 0.040398258715867996
672 0.04026741534471512 0.0402691625058651
673 0.04013697803020477 0.04013872891664505
674 0.04000895470380783 0.04001069813966751
675 0.039878543466329575 0.03988029062747955
676 0.039750587195158005 0.039752326905727386
677 0.03962172195315361 0.03962346911430359
678 0.03949175402522087 0.03949350118637085
679 0.03936576470732689 0.03936751186847687
680 0.0392383374273777 0.03924008458852768
681 0.03911156207323074 0.03911330923438072
682 0.03898485004901886 0.03898659348487854
683 0.038856714963912964 0.038858454674482346
684 0.03873172774910927 0.038733482360839844
685 0.038606446236371994 0.03860819712281227
686 0.03848152980208397 0.03848326951265335
687 0.03835834935307503 0.038360096514225006
688 0.0382329523563385 0.03823469951748848
689 0.03810739889740944 0.03810914605855942
690 0.037982720881700516 0.037984468042850494
691 0.037861138582229614 0.03786288946866989
692 0.03773858770728111 0.03774033114314079
693 0.03761669248342514 0.03761843964457512
694 0.03749383985996246 0.03749559447169304
695 0.037370581179857254 0.03737232834100723
696 0.03724955394864082 0.037251293659210205
